patient,feature,perm_mean,perm_std,perm_rank,gain_norm
Pt6,autocorr_100,0.0027652793400824603,0.004359913545503895,14,0.031873943778729145
Pt6,spectral_entropy,-0.0011904761904762528,0.002380952380952423,38,0.011211514693046164
Pt6,spectral_centroid,0.0011904761904761862,0.0014580296087995056,19,0.0010273304718410009
Pt6,median_freq,0.0,0.0,26,0.0002080695491989454
Pt6,dominant_freq,0.002179415073115809,0.0039373705351919,15,0.004985594165795393
Pt6,bandpower_16_40,0.0015888638920134924,0.0013461646394714718,17,0.006832643739924157
Pt6,bandpower_40_80,-0.0027746531683540353,0.0014554811708383747,41,0.0032488884206229246
Pt6,bandpower_80_125,-0.0009842519685040018,0.007496645537538018,35,0.005472115327058564
Pt6,bandpower_125_250,-0.003983877015373172,0.0,43,0.006906636800444667
Pt6,bandpower_250_500,0.0029761904761904656,0.0,12,0.0085074203698371
Pt6,hf_lf_ratio,-0.0035714285714286476,0.003470804699312708,42,0.0036246896722485025
Pt6,veryhf_ratio,0.0029761904761904656,0.0,13,0.00701539835223925
Pt6,teager_mean_abs,0.0013967004124484372,0.0013434040103752264,18,0.010601899549139997
Pt6,teager_std,0.00040776152980877,0.0017263247918410855,24,0.00992658010226577
Pt7,mean,0.0,0.0,32,0.002948606072241222
Pt7,std,0.023025210084033597,0.019490364354271112,2,0.17482549344774231
Pt7,rms,0.0,0.0,31,0.06282004250090231
Pt7,ptp,0.0746218487394958,0.022974550169951438,1,0.3589797960144241
Pt7,max_abs,0.0,0.0,15,0.005515185096696685
Pt7,median_abs,0.0028571428571428693,0.005714285714285739,12,0.00518837337337889
Pt7,abs_q75,0.0,0.0,14,0.006343144457049442
Pt7,abs_q90,0.0,0.0,13,0.007406041173505656
Pt7,abs_q95,0.02285714285714289,0.006998542122237627,4,0.026381093661777814
Pt7,abs_q99,0.022941176470588263,0.007068820452037989,3,0.18736372739924265
Pt7,mad,0.0,0.0,16,0.0002351328051856207
Pt7,skew,0.005714285714285739,0.006998542122237682,9,0.006270626218195962
Pt7,kurtosis,0.0,0.0,20,0.0015360015441469284
Pt7,line_length,0.0,0.0,19,0.014394325223066077
Pt7,mean_abs_diff,0.0,0.0,18,0.005045652853263308
Pt7,std_diff,0.0,0.0,17,0.00014223611992517917
Pt7,max_abs_diff,0.0028571428571428693,0.010690449676497021,10,0.00894205279234754
Pt7,zero_cross_rate,0.0,0.0,24,0.0014302615403298119
Pt7,hjorth_mobility,0.0,0.0,23,0.0017234581028809815
Pt7,hjorth_complexity,0.0,0.0,21,0.0023943902385843846
Pt7,peaks_gt_0.1max,0.00882352941176472,0.011662218661734843,6,0.029023613084184406
Pt7,peaks_gt_0.2max,0.0,0.0,22,0.0005529929383981262
Pt7,peaks_gt_0.3max,0.0,0.0,26,0.0006891909548601796
Pt7,peaks_gt_0.5max,0.0,0.0,25,0.0003674425030930434
Pt7,autocorr_1,0.014705882352941235,0.0,5,0.005046820844755832
Pt7,autocorr_5,0.0,0.0,28,0.0009076277718551113
Pt7,autocorr_10,0.0,0.0,27,0.0019282584327634843
Pt7,autocorr_20,0.0,0.0,29,0.0025885561278866215
Pt7,autocorr_50,0.0,0.0,30,0.006492066153404893
Pt7,autocorr_100,0.008571428571428608,0.006998542122237681,7,0.009639708674191125
Pt7,spectral_entropy,0.0,0.0,34,0.0014494100546911227
Pt7,spectral_centroid,0.0,0.0,33,0.0009171110135772605
Pt7,median_freq,0.0,0.0,36,0.0010880754959465523
Pt7,dominant_freq,0.0028571428571428693,0.005714285714285739,11,0.005821628922145272
Pt7,bandpower_16_40,0.0,0.0,35,0.0023328122061960026
Pt7,bandpower_40_80,0.0,0.0,37,0.003561231138946102
Pt7,bandpower_80_125,0.005882352941176494,0.00720438159642114,8,0.005794284260376694
Pt7,bandpower_125_250,0.0,0.0,38,0.00782195489398002
Pt7,bandpower_250_500,0.0,0.0,39,0.012369831594697489
Pt7,hf_lf_ratio,0.0,0.0,40,0.005093699556212425
Pt7,veryhf_ratio,0.0,0.0,41,0.011732788655891977
Pt7,teager_mean_abs,0.0,0.0,42,0.0015654253129639955
Pt7,teager_std,0.0,0.0,43,0.003329828774095372
Pt8,mean,0.005555555555555513,0.004536092116265111,12,0.00628857678343435
Pt8,std,0.012962962962962931,0.007407407407407402,10,0.18216645643846843
Pt8,rms,0.0018518518518518378,0.006928995160692432,16,0.11121346594328252
Pt8,ptp,0.08703703703703705,0.02657907424890246,1,0.3617788882622803
Pt8,max_abs,0.0,0.0058560697410525095,29,0.008771654188304156
Pt8,median_abs,0.0037037037037036978,0.009442628728875491,13,0.008662253229456239
Pt8,abs_q75,-0.007407407407407351,0.0037037037037036757,42,0.008890842763001425
Pt8,abs_q90,-0.007407407407407351,0.0037037037037036757,41,0.0066554069250755075
Pt8,abs_q95,-0.0037037037037036757,0.00453609211626511,34,0.029173469189666644
Pt8,abs_q99,0.014814814814814791,0.01111111111111113,9,0.11034999555404112
Pt8,mad,0.0,0.0,31,0.00010020784639812938
Pt8,skew,0.016666666666666653,0.009072184232530289,8,0.009258304236598795
